Name,Department,CGPA,Contact Number,College Email,B.Tech Score,Interest Area
Andrea Erickson,CE,9,7000893293,andrea74@college.edu,79,ML
Dale Matthews,CSE,7,7930823254,dale37@college.edu,62,Cybersecurity
James Steele,CE,9,6325901676,james47@college.edu,54,IoT
Kelly Wolf,CE,8,9080639608,kelly60@college.edu,75,Data Science
Sandra Walker,CE,8,7199282378,sandra66@college.edu,67,IoT
Samuel Daniels MD,CSE,8,9570610346,samuel99@college.edu,75,IoT
Jennifer Leonard,CSE,7,9867212535,jennifer46@college.edu,52,AI
Laura Nunez,CE,9,9871068143,laura44@college.edu,72,Cloud Computing
Alexander Barry,ECE,10,6938784929,alexander47@college.edu,62,Cloud Computing
Rebecca Contreras,ECE,10,6902382238,rebecca33@college.edu,50,Data Science
Angela Flores,IT,7,8708024338,angela93@college.edu,62,ML
Deanna Jackson,ME,10,7420585713,deanna20@college.edu,100,Cybersecurity
Colleen Moore,CSE,6,6926690285,colleen80@college.edu,86,Data Science
Diana Gross,CSE,7,9152337602,diana79@college.edu,77,Cybersecurity
David Parsons,ECE,10,9829106849,david50@college.edu,67,AI
Maria Russell,CE,6,7451884532,maria83@college.edu,93,AI
Michael Thompson,CSE,7,7515106657,michael32@college.edu,71,Data Science
Melissa Jackson,ECE,8,7484061520,melissa53@college.edu,73,AI
Kathleen Jones,ECE,6,7782143545,kathleen21@college.edu,50,ML
Susan Stewart,ECE,9,9554064261,susan66@college.edu,50,Cybersecurity
Scott Reynolds,ECE,8,8097841229,scott63@college.edu,62,IoT
Diane Gutierrez,IT,10,7373780469,diane16@college.edu,56,ML
Christopher Soto,ECE,7,7227056438,christopher53@college.edu,58,Data Science
Jason Powers,ME,7,6724479867,jason98@college.edu,79,Cybersecurity
Chris Graham,CE,10,9693274515,chris60@college.edu,91,AI
Jennifer Benton,CE,8,6106977561,jennifer69@college.edu,91,Cloud Computing
Carol Powell,ECE,7,6766299662,carol93@college.edu,50,Data Science
Jack Mcdaniel,ECE,8,6371432500,jack23@college.edu,83,Cloud Computing
Scott Campos,CSE,6,8377422342,scott91@college.edu,82,ML
Stephanie Walsh,CE,6,6959491226,stephanie73@college.edu,62,Cybersecurity
David Simmons,CSE,7,6837642381,david81@college.edu,69,Data Science
Dr. Jane Pace,ME,6,9052766810,dr.92@college.edu,82,Cybersecurity
Stephanie Berry,ME,7,8340459836,stephanie13@college.edu,59,IoT
Deborah Taylor,ECE,7,8173874991,deborah96@college.edu,66,Cloud Computing
Michael Brady,IT,9,7436868716,michael61@college.edu,71,IoT
Ronald Edwards,CSE,10,8908982684,ronald16@college.edu,56,AI
Jennifer Lopez,CE,9,7129831980,jennifer14@college.edu,88,Cloud Computing
David Walsh,CE,7,9106193912,david62@college.edu,99,Data Science
William Gordon,CE,6,8810264892,william91@college.edu,64,ML
Charles Clark,CSE,8,9254872388,charles47@college.edu,71,ML
Melissa Sanchez,IT,8,8652790920,melissa49@college.edu,60,Cloud Computing
Craig Brennan,ME,8,9399207845,craig62@college.edu,78,Data Science
Sarah Lloyd,CE,7,6998194667,sarah94@college.edu,94,Cybersecurity
Sarah Garrett,IT,6,8465452611,sarah13@college.edu,77,Data Science
Maureen Garcia,IT,9,7585259008,maureen30@college.edu,89,AI
Jordan Ramirez,ECE,7,9058592134,jordan57@college.edu,75,IoT
Derek Perez,ECE,10,9257591776,derek52@college.edu,76,Cybersecurity
Victoria Jackson,CE,9,8237777203,victoria85@college.edu,76,IoT
Thomas Brown,IT,8,8733000489,thomas63@college.edu,56,Data Science
Tammy Jones,ECE,8,9857557047,tammy31@college.edu,64,AI
Julie Hall,ECE,6,7926359166,julie33@college.edu,77,Cloud Computing
Casey Hanson,CE,8,7156338021,casey12@college.edu,55,Data Science
Karen Lamb,ECE,7,9792368446,karen92@college.edu,97,ML
Olivia Wheeler,IT,9,9430787153,olivia78@college.edu,54,IoT
Meagan Sharp,CE,10,6871516635,meagan85@college.edu,61,AI
Samantha Taylor,IT,10,7435480179,samantha90@college.edu,79,Cloud Computing
Joseph Vazquez,CSE,9,7760023439,joseph30@college.edu,67,AI
Monica Williams,ECE,8,8385781648,monica80@college.edu,80,ML
Jason Wolfe,IT,6,7036239104,jason85@college.edu,65,Cybersecurity
Jason Jones,CSE,8,6251684201,jason28@college.edu,93,AI
Benjamin Jackson,ECE,6,9508934644,benjamin16@college.edu,86,IoT
Andrew Brown,ECE,9,7306485422,andrew23@college.edu,67,ML
Jessica Smith,ECE,9,7540621524,jessica41@college.edu,79,IoT
Heather Tapia,IT,8,7495797318,heather77@college.edu,71,Data Science
Laura Johnson,ME,10,8922609555,laura39@college.edu,77,Data Science
Richard Mosley,ECE,7,6369608130,richard27@college.edu,97,ML
Tamara Miller,IT,6,9847626414,tamara31@college.edu,58,Cybersecurity
Gary Campbell PhD,CE,9,8349034871,gary47@college.edu,81,Cloud Computing
Stephen Beasley,ECE,9,8585444856,stephen13@college.edu,84,Cloud Computing
Rick Lewis,ME,6,7871766305,rick42@college.edu,76,ML
Christopher Anderson,IT,9,6658034540,christopher33@college.edu,92,Data Science
April Francis,CE,9,9290204399,april83@college.edu,61,AI
Jimmy Moore,ECE,9,7491238730,jimmy90@college.edu,91,IoT
Karen Moore,CE,10,8850299689,karen76@college.edu,92,IoT
Kelly Cain,IT,7,9014316496,kelly14@college.edu,74,Cybersecurity
Patricia Schmidt,CE,8,8874891091,patricia74@college.edu,99,IoT
Robert Collins,ME,6,8051068976,robert12@college.edu,58,Cybersecurity
Danny Hill,CE,8,6297054967,danny71@college.edu,58,Data Science
Kirsten Holland,ME,6,9322516235,kirsten32@college.edu,58,Cloud Computing
Anna Zamora,CSE,9,9909463202,anna38@college.edu,94,AI
Kevin Barnett,ME,10,6291096844,kevin75@college.edu,69,Cybersecurity
George Robertson,CSE,6,7301439285,george55@college.edu,67,ML
Brad Green,ME,10,8785420139,brad74@college.edu,83,AI
William King,IT,10,9103610189,william19@college.edu,56,IoT
Jon Reed,CSE,9,9389587652,jon13@college.edu,63,ML
Tiffany Price,ECE,6,8931977857,tiffany15@college.edu,86,Cybersecurity
Diane Beasley,CSE,9,6920981423,diane35@college.edu,62,AI
Ricardo Vasquez,IT,10,6129690392,ricardo57@college.edu,96,Cloud Computing
Paul Rocha,CSE,6,6839939430,paul43@college.edu,52,Cybersecurity
Christine Reeves,CE,7,8521598074,christine67@college.edu,91,Cybersecurity
Monique Castillo,CE,10,9929738633,monique11@college.edu,76,AI
Allen Copeland,CE,9,8340234609,allen31@college.edu,99,AI
Jessica Wood,IT,7,7962740057,jessica31@college.edu,89,Data Science
Desiree Robertson,ME,9,6386230126,desiree67@college.edu,72,Cloud Computing
Kathryn Cole,CSE,9,8399759891,kathryn87@college.edu,57,Cybersecurity
Tanner Tanner,ME,7,8727466525,tanner61@college.edu,94,IoT
Nicholas Wagner,ECE,10,9377389456,nicholas19@college.edu,97,Cloud Computing
Annette Scott,CE,8,8654130286,annette11@college.edu,54,ML
Hannah Figueroa,ME,9,9651497134,hannah54@college.edu,71,Cybersecurity
Amy Luna,IT,8,6543401786,amy42@college.edu,58,ML
Lisa Nicholson,ME,10,7891217960,lisa51@college.edu,58,ML
Kevin Chaney,CE,10,6055587289,kevin89@college.edu,94,IoT
Ricardo Moore,ECE,8,6398836309,ricardo59@college.edu,53,AI
Michael Acosta,IT,10,9169773231,michael34@college.edu,95,Cybersecurity
Carrie Walker,IT,9,6802771687,carrie51@college.edu,76,Cybersecurity
Jacqueline Davis,ECE,10,6465570520,jacqueline28@college.edu,75,Data Science
Abigail Gutierrez,CSE,8,7170936334,abigail51@college.edu,100,Cloud Computing
Angela Burton,IT,9,9849750112,angela87@college.edu,92,AI
Jared James,CE,10,9361825251,jared63@college.edu,66,Cybersecurity
Misty Smith,CE,8,8401105312,misty93@college.edu,79,IoT
Charles Oconnell,CSE,10,7335518919,charles72@college.edu,80,Cloud Computing
James Hunt,IT,8,9928814913,james33@college.edu,59,AI
Kevin Roberts,IT,6,6513606219,kevin47@college.edu,68,AI
Jason Richard,CE,6,9910048007,jason90@college.edu,65,IoT
Michelle Ball,ME,6,6238410029,michelle50@college.edu,63,AI
James Torres,ME,6,7281855744,james69@college.edu,93,IoT
Joshua Watkins,ECE,10,6774842407,joshua20@college.edu,51,AI
Kevin Huang,CSE,6,9486895977,kevin94@college.edu,90,AI
Brian Griffith,CE,6,8928529271,brian73@college.edu,84,Cloud Computing
Brian Harrison,IT,10,6962409084,brian30@college.edu,57,ML
Taylor Joyce,ME,8,6758631091,taylor85@college.edu,96,IoT
Joshua Johnson,ME,8,7204234842,joshua45@college.edu,53,ML
Ana Rodriguez,CSE,8,6922369121,ana59@college.edu,74,ML
Timothy Black,IT,9,9543440984,timothy62@college.edu,60,Data Science
Laura Wilkins,IT,9,8716754978,laura47@college.edu,98,Data Science
Rachel Thomas,ECE,10,6413342526,rachel68@college.edu,60,ML
Adam Osborne,CSE,7,9438660563,adam92@college.edu,92,ML
Megan Abbott,CE,10,7086814998,megan43@college.edu,79,IoT
Alexander Holland,ME,10,6434887566,alexander79@college.edu,80,Data Science
Jacob Roberts,ME,8,7471866228,jacob82@college.edu,73,AI
Deborah Smith,CSE,7,7892778723,deborah20@college.edu,51,AI
Michael Hall,IT,8,8058812784,michael27@college.edu,55,Cloud Computing
Stacey Pollard,IT,8,7034435568,stacey80@college.edu,54,ML
Robert Snow,IT,8,9230775272,robert27@college.edu,67,Data Science
Brendan Farmer,ME,7,6846266799,brendan80@college.edu,100,IoT
Jessica Swanson,ECE,10,7694750979,jessica37@college.edu,70,AI
John Hernandez,ME,9,6795682110,john20@college.edu,90,Cloud Computing
Tiffany Tucker,IT,10,9713071800,tiffany27@college.edu,76,Data Science
Travis Martin MD,ECE,9,7863520896,travis97@college.edu,61,Data Science
Jeffrey Leon,IT,10,9492112762,jeffrey22@college.edu,69,AI
Michael Baker,CSE,6,9632204068,michael58@college.edu,87,Data Science
Alex Hernandez,CSE,7,8721415550,alex36@college.edu,87,Data Science
Anthony Sanchez,CSE,8,6683361027,anthony69@college.edu,54,Data Science
Natasha Garcia,CE,7,6926142262,natasha79@college.edu,59,ML
Valerie Meyer,ME,8,6437075803,valerie97@college.edu,75,Cybersecurity
Michael Miles,ECE,7,7125538337,michael11@college.edu,98,Data Science
Adriana Anderson,ECE,8,8990037478,adriana71@college.edu,56,ML
Edward Davis,ME,8,8493193751,edward40@college.edu,54,Cloud Computing
Mitchell Taylor,ME,6,6118896724,mitchell30@college.edu,51,Data Science
Catherine Hernandez,ECE,9,6427078676,catherine19@college.edu,83,ML
Samantha Harvey,IT,6,6606752324,samantha61@college.edu,59,Cloud Computing
Daniel Owen,ME,10,8453057098,daniel92@college.edu,69,Cloud Computing
Rachel Pierce,IT,9,9482275193,rachel30@college.edu,91,ML
Jason Rice,ME,10,7226850868,jason61@college.edu,58,AI
Sandra Riggs,CE,8,8445595558,sandra88@college.edu,78,ML
Mary Garrett,CE,8,6989413114,mary11@college.edu,68,AI
Cody Kelly,IT,8,6585836317,cody13@college.edu,70,Cloud Computing
Robert Alvarado,IT,10,9819066378,robert47@college.edu,58,Cybersecurity
Johnathan Chavez,CSE,9,8906389044,johnathan10@college.edu,53,Cloud Computing
Anthony Nelson,CSE,10,9078419015,anthony21@college.edu,71,AI
Erin Morris,IT,7,8643976283,erin42@college.edu,78,Cloud Computing
Daniel Santiago,CSE,10,7912448339,daniel59@college.edu,59,Cybersecurity
Stephen Brown,IT,10,9193260688,stephen37@college.edu,62,IoT
Ryan Hogan,CSE,6,6712180822,ryan36@college.edu,81,AI
Jacob Yoder,CSE,6,7744935056,jacob23@college.edu,80,AI
Nicole Hayden,CE,6,6753430620,nicole87@college.edu,50,Cloud Computing
Kyle Jimenez,ME,9,6978200452,kyle62@college.edu,71,AI
Gary Myers MD,ECE,9,9351121487,gary97@college.edu,54,AI
Tara Miller,CE,9,9620019408,tara95@college.edu,52,IoT
William Hernandez,CSE,9,9837048764,william73@college.edu,63,IoT
Jennifer Ferguson,ME,6,6399220069,jennifer58@college.edu,66,ML
Douglas Pitts,CSE,9,8330244535,douglas29@college.edu,90,ML
Timothy Mccarthy,ME,7,7278725457,timothy13@college.edu,95,Cybersecurity
Micheal Torres,ME,10,7231292070,micheal52@college.edu,86,Cloud Computing
Vanessa Parrish,CE,8,8409458993,vanessa13@college.edu,89,ML
Selena Campbell,ECE,10,7438885231,selena24@college.edu,87,Cybersecurity
Desiree Miller,CSE,10,7279730026,desiree36@college.edu,72,ML
Luis Charles,CSE,7,7382598548,luis30@college.edu,63,AI
Carolyn Singleton,CE,7,7011903305,carolyn21@college.edu,84,ML
John Nelson,IT,6,6816193767,john96@college.edu,87,AI
Jessica Donaldson,ECE,7,8567527700,jessica31@college.edu,96,Cybersecurity
Cindy Rodriguez,CE,10,9820011221,cindy78@college.edu,64,Cybersecurity
Nichole Schultz,ME,9,6828687991,nichole29@college.edu,97,Cybersecurity
Diane Thompson,CE,10,7313871432,diane95@college.edu,89,Data Science
Jennifer Knox,CE,9,7366077243,jennifer67@college.edu,74,AI
Sharon Duncan DVM,IT,8,7041535128,sharon83@college.edu,67,Data Science
Susan Copeland,CSE,8,9635278266,susan13@college.edu,78,IoT
Robert Brown,CE,8,7034137414,robert39@college.edu,73,Cybersecurity
Kevin Lopez,CE,9,6573814014,kevin22@college.edu,98,IoT
Laura Martinez,ECE,9,8237101245,laura51@college.edu,62,AI
Kimberly Mills,CSE,9,9343080531,kimberly53@college.edu,51,Data Science
Roy Brown,ECE,8,8073731559,roy60@college.edu,95,Data Science
Ashley Walter,CE,9,8425644768,ashley73@college.edu,79,Cloud Computing
Daniel Davis,ECE,8,8060377521,daniel77@college.edu,69,IoT
Melissa Simon,CSE,6,6332985782,melissa38@college.edu,98,Cloud Computing
Lisa Fox,CSE,10,9203459338,lisa73@college.edu,71,AI
Elizabeth Bryant,IT,10,7689476734,elizabeth43@college.edu,89,Data Science
Michael Nichols,CSE,8,7448279186,michael62@college.edu,74,Cloud Computing
Leslie Garcia,IT,6,9557685912,leslie74@college.edu,68,IoT
Matthew Doyle,CE,8,7151942110,matthew60@college.edu,61,ML
Dustin Rice,CE,6,9598350409,dustin20@college.edu,86,AI
Glenn Brown,ECE,6,6133668768,glenn23@college.edu,89,Cloud Computing
Cheyenne Myers,IT,8,6983628530,cheyenne47@college.edu,80,Data Science
James Norris,CSE,8,8026168287,james84@college.edu,60,Cloud Computing
David Burton,ECE,9,8416968498,david69@college.edu,93,IoT
Amanda Browning,ECE,6,9462963554,amanda86@college.edu,76,AI
Eric Campbell,CSE,6,8348759831,eric88@college.edu,63,Cybersecurity
Christopher Burton,CSE,8,9652588948,christopher29@college.edu,72,ML
James Ward,IT,6,9549346355,james73@college.edu,58,Cybersecurity
Jacob Garza,IT,9,8294079514,jacob76@college.edu,81,AI
Charles Nash,ECE,9,7175218029,charles90@college.edu,80,Cloud Computing
Bonnie Ferguson,ECE,6,6845991206,bonnie92@college.edu,73,Cloud Computing
Richard Miller,ME,8,6788952772,richard86@college.edu,65,IoT
Nicole Williams,ME,7,7570651225,nicole20@college.edu,53,Cybersecurity
Wendy Walls,ME,6,9037042580,wendy91@college.edu,51,Cloud Computing
Shawna Lynch,IT,7,8323501832,shawna35@college.edu,56,AI
Jessica Bullock,CE,10,7025292402,jessica45@college.edu,75,IoT
Xavier Johnson,IT,6,8307517282,xavier47@college.edu,61,ML
Michael Andrews,IT,6,9675584368,michael55@college.edu,59,ML
John Edwards,ECE,7,7334987488,john61@college.edu,65,Cybersecurity
Ryan Gregory,ECE,7,7262919136,ryan77@college.edu,91,ML
Jamie Harris,CSE,8,9202173953,jamie41@college.edu,74,Data Science
James Bell,CE,8,6226180473,james11@college.edu,62,Cybersecurity
Kaitlyn Wagner,CSE,6,6443122233,kaitlyn96@college.edu,66,Data Science
Brenda Gibson,ECE,7,7574533532,brenda91@college.edu,99,ML
Anthony Perez,ECE,6,9250547735,anthony10@college.edu,100,ML
Scott Hill,IT,6,6603163799,scott79@college.edu,71,Cloud Computing
Heather Cook,CSE,8,6308413784,heather98@college.edu,80,AI
Jennifer Rangel,ECE,10,9404625433,jennifer73@college.edu,70,IoT
Robert Lindsey,CSE,9,6021185023,robert95@college.edu,87,Data Science
Emily Burgess,CSE,8,7595732623,emily78@college.edu,100,AI
Michael Stone,ME,8,6184679236,michael31@college.edu,96,ML
Angela Summers,CE,10,8312882407,angela65@college.edu,51,Cloud Computing
Michael Hanson,IT,10,7803991684,michael63@college.edu,65,AI
Bianca Gibson,ECE,9,9645080253,bianca82@college.edu,70,Cloud Computing
Jose Howard,ECE,7,6734581556,jose73@college.edu,93,Cloud Computing
Michael Jackson,CE,8,9768835542,michael95@college.edu,50,AI
John Jones,IT,10,6795136789,john15@college.edu,55,IoT
Lee Jones,ECE,8,6168912135,lee72@college.edu,100,IoT
Gwendolyn Wilson,CE,6,7588675519,gwendolyn18@college.edu,56,AI
Julia Henry,CSE,10,9020423223,julia29@college.edu,77,AI
Robert Jensen,CE,10,7755465903,robert62@college.edu,84,Cloud Computing
Billy Lee,CE,9,6498348900,billy76@college.edu,98,IoT
Raymond Long,ECE,9,6994905467,raymond15@college.edu,99,Cloud Computing
Mr. Michael Ortiz,ME,7,6298136899,mr.14@college.edu,74,Data Science
Tina Garner,CSE,9,6920307839,tina89@college.edu,90,Cloud Computing
Joseph Shaw,ECE,6,7056996379,joseph76@college.edu,79,AI
John Johnson,CSE,6,6344775875,john33@college.edu,70,ML
Brandon Christian,ECE,10,6834656931,brandon54@college.edu,59,Data Science
Thomas White,CE,10,9359710288,thomas40@college.edu,82,ML
Heather Chung,ECE,9,9205872568,heather94@college.edu,94,Cybersecurity
John Gray,CSE,10,7925666003,john93@college.edu,95,Cloud Computing
Christine Glass,CSE,9,6740574009,christine40@college.edu,64,Cloud Computing
Kelly Melton,ECE,8,6140803699,kelly52@college.edu,99,AI
Denise Bradley,CE,9,7872947879,denise49@college.edu,55,Cybersecurity
Joseph Sanders,ECE,6,8310031778,joseph10@college.edu,90,AI
Katherine Collins,CE,8,7956272807,katherine12@college.edu,67,Cloud Computing
Michael Schroeder,IT,9,6311343928,michael62@college.edu,51,IoT
Jacqueline Warner,ME,8,6732612678,jacqueline98@college.edu,84,IoT
Brenda Davis,IT,7,9635092366,brenda46@college.edu,89,IoT
Jason Hodge,ME,10,9639621451,jason83@college.edu,67,Data Science
Sierra Wood,CSE,8,8046130771,sierra31@college.edu,75,Cybersecurity
Alyssa Ochoa,ME,10,9228111477,alyssa87@college.edu,95,AI
James Young,CSE,10,6303314441,james86@college.edu,69,Cybersecurity
William Burns,ECE,10,6324494168,william38@college.edu,79,IoT
Faith Sweeney,IT,8,8392091389,faith19@college.edu,79,Cloud Computing
Emily Holmes,IT,9,7515918459,emily46@college.edu,78,Cloud Computing
Cynthia Yoder,ECE,6,8648818997,cynthia32@college.edu,94,AI
Amanda Chen,ECE,6,7867949544,amanda99@college.edu,96,AI
Ann Suarez,CSE,7,9412721594,ann11@college.edu,71,IoT
Steven Richard,CE,10,8048424279,steven21@college.edu,91,ML
Thomas Christensen,ME,7,7387196428,thomas53@college.edu,71,IoT
Angela Russell,ME,6,6605289136,angela49@college.edu,86,AI
Melissa Hancock,IT,7,8162207290,melissa87@college.edu,73,Data Science
Isaac Snow,CSE,9,7532762376,isaac51@college.edu,87,Data Science
Tiffany Vega,IT,10,8699464930,tiffany49@college.edu,90,ML
Katherine Collins,ME,10,9181852588,katherine80@college.edu,68,AI
Kathryn Maldonado,ECE,8,9724552819,kathryn64@college.edu,85,ML
Patricia Jones,IT,8,7775751711,patricia56@college.edu,50,AI
Heidi Watts,IT,9,6145194558,heidi26@college.edu,51,Cybersecurity
Richard Bennett,CE,8,9869102303,richard77@college.edu,66,ML
Rachel Cisneros,IT,7,8179452973,rachel71@college.edu,83,Data Science
Ann Jones,ECE,9,8395882695,ann54@college.edu,71,Cloud Computing
